#options: 852x480 fps=30000/1001 timebase=1001/30000 bitdepth=8 cabac=0 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=15 lookahead_threads=3 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=0 weightp=0 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=2000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:34 out:34 type:P dur:2 cpbdur:2 q:22.48 aq:16.32 tex:96223 mv:12682 misc:1727 imb:199 pmb:1362 smb:59 d:- ref:0 ;
in:35 out:35 type:P dur:2 cpbdur:2 q:22.23 aq:14.44 tex:207072 mv:16650 misc:1694 imb:362 pmb:1252 smb:6 d:- ref:0 ;
in:36 out:36 type:P dur:2 cpbdur:2 q:22.10 aq:15.50 tex:7829 mv:1812 misc:1511 imb:1 pmb:448 smb:1171 d:- ref:0 ;
in:37 out:37 type:P dur:2 cpbdur:2 q:21.65 aq:15.38 tex:6707 mv:1165 misc:1168 imb:1 pmb:279 smb:1340 d:- ref:0 ;
in:38 out:38 type:P dur:2 cpbdur:2 q:21.06 aq:13.73 tex:177936 mv:15771 misc:1693 imb:325 pmb:1289 smb:6 d:- ref:0 ;
in:39 out:39 type:P dur:2 cpbdur:2 q:20.71 aq:12.98 tex:218494 mv:16499 misc:1695 imb:316 pmb:1293 smb:11 d:- ref:0 ;
in:40 out:40 type:P dur:2 cpbdur:2 q:20.40 aq:12.21 tex:196439 mv:15131 misc:1702 imb:266 pmb:1343 smb:11 d:- ref:0 ;
in:41 out:41 type:P dur:2 cpbdur:2 q:20.17 aq:12.94 tex:15711 mv:2970 misc:1695 imb:1 pmb:664 smb:955 d:- ref:0 ;
in:42 out:42 type:P dur:2 cpbdur:2 q:19.69 aq:12.75 tex:15208 mv:1745 misc:1343 imb:2 pmb:405 smb:1213 d:- ref:0 ;
in:43 out:43 type:P dur:2 cpbdur:2 q:20.08 aq:13.72 tex:32838 mv:5462 misc:1684 imb:22 pmb:906 smb:692 d:- ref:0 ;
in:44 out:44 type:P dur:2 cpbdur:2 q:20.49 aq:13.63 tex:90384 mv:11428 misc:1732 imb:148 pmb:1328 smb:144 d:- ref:0 ;
in:45 out:45 type:P dur:2 cpbdur:2 q:20.65 aq:14.42 tex:5767 mv:1262 misc:1259 imb:5 pmb:298 smb:1317 d:- ref:0 ;
in:46 out:46 type:P dur:2 cpbdur:2 q:20.48 aq:13.35 tex:126884 mv:13532 misc:1704 imb:217 pmb:1374 smb:29 d:- ref:0 ;
in:47 out:47 type:P dur:2 cpbdur:2 q:20.64 aq:12.91 tex:147162 mv:13352 misc:1710 imb:206 pmb:1364 smb:50 d:- ref:0 ;
in:48 out:48 type:P dur:2 cpbdur:2 q:20.58 aq:13.35 tex:28754 mv:4130 misc:1676 imb:23 pmb:796 smb:801 d:- ref:0 ;
in:49 out:49 type:P dur:2 cpbdur:2 q:20.83 aq:14.27 tex:33901 mv:2257 misc:1314 imb:2 pmb:409 smb:1209 d:- ref:0 ;
in:50 out:50 type:P dur:2 cpbdur:2 q:21.65 aq:16.49 tex:2028 mv:556 misc:888 imb:1 pmb:144 smb:1475 d:- ref:0 ;
in:51 out:51 type:P dur:2 cpbdur:2 q:21.49 aq:14.69 tex:127836 mv:14675 misc:1713 imb:279 pmb:1303 smb:38 d:- ref:0 ;
in:52 out:52 type:P dur:2 cpbdur:2 q:21.38 aq:13.87 tex:122616 mv:13997 misc:1723 imb:216 pmb:1289 smb:115 d:- ref:0 ;
in:53 out:53 type:P dur:2 cpbdur:2 q:22.00 aq:14.85 tex:11899 mv:2813 misc:1656 imb:9 pmb:599 smb:1012 d:- ref:0 ;
in:54 out:54 type:P dur:2 cpbdur:2 q:22.71 aq:16.58 tex:7001 mv:1563 misc:1340 imb:0 pmb:377 smb:1243 d:- ref:0 ;
in:55 out:55 type:P dur:2 cpbdur:2 q:23.28 aq:17.22 tex:20343 mv:1860 misc:1213 imb:3 pmb:356 smb:1261 d:- ref:0 ;
in:56 out:56 type:P dur:2 cpbdur:2 q:23.19 aq:17.06 tex:15860 mv:2537 misc:1379 imb:11 pmb:491 smb:1118 d:- ref:0 ;
in:57 out:57 type:P dur:2 cpbdur:2 q:23.03 aq:16.34 tex:75750 mv:11576 misc:1738 imb:195 pmb:1302 smb:123 d:- ref:0 ;
in:58 out:58 type:P dur:2 cpbdur:2 q:22.85 aq:16.90 tex:15926 mv:2596 misc:1574 imb:14 pmb:550 smb:1056 d:- ref:0 ;
in:59 out:59 type:P dur:2 cpbdur:2 q:22.78 aq:16.55 tex:73678 mv:9707 misc:1695 imb:120 pmb:1129 smb:371 d:- ref:0 ;
in:60 out:60 type:P dur:2 cpbdur:2 q:22.54 aq:15.44 tex:19207 mv:5782 misc:1683 imb:44 pmb:800 smb:776 d:- ref:0 ;
in:61 out:61 type:P dur:2 cpbdur:2 q:22.70 aq:16.55 tex:16283 mv:5233 misc:1620 imb:36 pmb:731 smb:853 d:- ref:0 ;
in:62 out:62 type:P dur:2 cpbdur:2 q:22.91 aq:17.30 tex:8973 mv:2077 misc:1382 imb:5 pmb:433 smb:1182 d:- ref:0 ;
in:63 out:63 type:P dur:2 cpbdur:2 q:22.76 aq:17.01 tex:2998 mv:1289 misc:969 imb:11 pmb:213 smb:1396 d:- ref:0 ;
